CODE,Name
@GC0W.CMX,纽约金主连
@GC0Y.CMX,纽约金连一
@GC26K.CMX,纽约金2605
@GC26M.CMX,纽约金2606
@GC26N.CMX,纽约金2607
@GC26Q.CMX,纽约金2608
@GC26U.CMX,纽约金2609
@GC26V.CMX,纽约金2610
@GC26X.CMX,纽约金2611
@GC26Z.CMX,纽约金2612
@GC27F.CMX,纽约金2701
@GC27G.CMX,纽约金2702
@GC27H.CMX,纽约金2703
@GC27J.CMX,纽约金2704
@GC27K.CMX,纽约金2705
@GC27M.CMX,纽约金2706
@GC27N.CMX,纽约金2707
@GC27Q.CMX,纽约金2708
@GC27U.CMX,纽约金2709
@GC27V.CMX,纽约金2710
@GC27X.CMX,纽约金2711
@GC27Z.CMX,纽约金2712
@GC28F.CMX,纽约金2801
@GC28G.CMX,纽约金2802
@GC28H.CMX,纽约金2803
@GC28J.CMX,纽约金2804
@GC28K.CMX,纽约金2805
@GC28M.CMX,纽约金2806
@GC28Z.CMX,纽约金2812
@GC29M.CMX,纽约金2906
@GC29Z.CMX,纽约金2912
@GC30M.CMX,纽约金3006
@GC30Z.CMX,纽约金3012
@GC31M.CMX,纽约金3106
@GC31Z.CMX,纽约金3112
00AHD.LME,伦铝连续
03AHD.LME,伦铝主连
0FAHD.LME,伦铝15个月
0RAHD.LME,伦铝27个月
00CAD.LME,伦铜连续
03CAD.LME,伦铜主连
0FCAD.LME,伦铜15个月
0RCAD.LME,伦铜27个月
AL00.SHF,沪铝连续
AL01.SHF,沪铝连一
AL02.SHF,沪铝连二
AL03.SHF,沪铝连三
AL2605.SHF,沪铝2605
AL2606.SHF,沪铝2606
AL2607.SHF,沪铝2607
AL2608.SHF,沪铝2608
AL2609.SHF,沪铝2609
AL2610.SHF,沪铝2610
AL2611.SHF,沪铝2611
AL2612.SHF,沪铝2612
AL2701.SHF,沪铝2701
AL2702.SHF,沪铝2702
AL2703.SHF,沪铝2703
AL2704.SHF,沪铝2704
AL8888.SHF,沪铝加权
ALZL.SHF,沪铝主连
ALZL1.SHF,沪铝主连(成...
ALZL2.SHF,沪铝主连结...
CU00.SHF,沪铜连续
CU01.SHF,沪铜连一
CU02.SHF,沪铜连二
CU03.SHF,沪铜连三
CU2605.SHF,沪铜2605
CU2606.SHF,沪铜2606
CU2607.SHF,沪铜2607
CU2608.SHF,沪铜2608
CU2609.SHF,沪铜2609
CU2610.SHF,沪铜2610
CU2611.SHF,沪铜2611
CU2612.SHF,沪铜2612
CU2701.SHF,沪铜2701
CU2702.SHF,沪铜2702
CU2703.SHF,沪铜2703
CU2704.SHF,沪铜2704
CU8888.SHF,沪铜加权
CUZL.SHF,沪铜主连
CUZL1.SHF,沪铜主连(成...
CUZL2.SHF,沪铜主连结...
AU00.SHF,沪金连续
AU01.SHF,沪金连一
AU02.SHF,沪金连二
AU03.SHF,沪金连三
AU2605.SHF,沪金2605
AU2606.SHF,沪金2606
AU2607.SHF,沪金2607
AU2608.SHF,沪金2608
AU2610.SHF,沪金2610
AU2612.SHF,沪金2612
AU2702.SHF,沪金2702
AU2704.SHF,沪金2704
AU8888.SHF,沪金加权
AUZL.SHF,沪金主连
AUZL1.SHF,沪金主连(成...
AUZL2.SHF,沪金主连结...
